number_volume,number_issue,number_article,type,link
13,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568261
13,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.568257
13,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607919
13,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580856
13,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.597869
13,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.550631
13,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580857
13,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580855
13,4,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.572482
13,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.639577
13,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.624187
13,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.514353
13,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.580854
13,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.597868
13,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607240
13,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607239
13,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.607241
13,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.641264
14,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.660753
14,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638083
14,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.624188
14,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638084
14,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638082
14,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2010.547943
14,1,15,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657215
14,1,16,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657214
14,2,1,correction,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.718199
14,2,2,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.688375
14,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676447
14,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676456
14,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676451
14,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676455
14,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676449
14,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676450
14,2,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676454
14,2,14,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657216
14,2,15,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676662
14,2,16,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676663
14,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.711572
14,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676661
14,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.677050
14,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676758
14,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.691170
14,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676660
14,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.657212
14,3,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.676664
14,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.735063
14,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.724573
14,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.724575
14,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.724576
14,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.724577
14,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.724578
14,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.724579
14,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.709532
14,4,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726367
14,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.749071
14,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726369
14,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.720271
14,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.721890
14,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.709874
14,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.709531
14,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726368
14,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.707670
14,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748931
14,5,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748932
15,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.768008
15,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748927
15,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726733
15,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.721891
15,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.692806
15,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.750732
15,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.692807
15,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.784630
15,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767927
15,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767923
15,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767926
15,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767924
15,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767928
15,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748930
15,2,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726734
15,2,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767929
15,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.805516
15,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.787436
15,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.750730
15,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.717633
15,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.691171
15,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.707669
15,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.726735
15,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.787434
15,3,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.750731
15,3,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767922
15,3,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.767921
15,3,12,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.792115
15,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.838021
15,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.835853
15,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836400
15,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836402
15,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836403
15,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836404
15,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836405
15,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836407
15,4,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.836406
15,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.858506
15,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.798018
15,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.749413
15,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.721892
15,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.829241
15,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.840735
15,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2011.638085
15,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.792116
15,5,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.798020
16,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.876751
16,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.859717
16,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.717634
16,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.809465
16,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.677051
16,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748928
16,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.787435
16,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.813957
16,1,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.847207
16,1,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.752856
16,1,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.859719
16,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.902555
16,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.827230
16,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821619
16,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821621
16,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821620
16,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821622
16,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.821623
16,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.748929
16,2,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.798019
16,2,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.809466
16,2,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.837189
16,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.923190
16,3,2,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916335
16,3,3,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916331
16,3,4,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916334
16,3,5,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916332
16,3,6,review article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.916333
16,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.904916
16,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.813958
16,3,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.894547
16,3,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.750729
16,3,11,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.878097
16,3,12,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.919011
16,3,13,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.880498
16,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.940687
16,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.915418
16,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.865064
16,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.862287
16,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.817597
16,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.880497
16,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.862286
16,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2012.749414
16,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.880499
16,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968987
16,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.946070
16,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.939685
16,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.928737
16,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.946069
16,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.941376
16,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.904915
16,5,8,correction,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.964936
16,5,9,correction,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.914824
17,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.996972
17,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.934874
17,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968796
17,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968799
17,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968797
17,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.977323
17,1,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.859718
17,1,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2013.865065
17,1,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.928738
17,1,10,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.928739
17,1,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968800
17,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1032093
17,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.977322
17,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.968798
17,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.995772
17,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1007153
17,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1009843
17,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1006133
17,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1064222
17,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1018720
17,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1018719
17,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1035299
17,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1035298
17,3,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1028568
17,3,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1028569
17,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1092210
17,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2014.977321
17,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1064147
17,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1051074
17,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072228
17,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1051073
17,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1061682
17,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072226
17,4,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072229
17,4,10,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1072227
17,4,11,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1058408
17,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1135539
17,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1088959
17,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1103887
17,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1120879
17,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1124902
17,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1118519
17,5,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1087583
18,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1157950
18,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1134800
18,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1139157
18,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1141304
18,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1124903
18,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1124904
18,1,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1134802
18,2,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1141306
18,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1153699
18,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1141305
18,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2015.1134801
18,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1158846
18,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172717
18,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1153697
18,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172719
18,3,5,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172720
18,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1212927
18,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1153698
18,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207791
18,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207792
18,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172716
18,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1172718
18,5,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1197408
18,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1139158
18,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207794
18,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1228991
18,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1207793
18,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1226375
18,5,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235219
18,5,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1211720
19,1,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1236283
19,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1226373
19,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235218
19,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1226374
19,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1258083
19,1,6,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235220
19,1,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1258085
19,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1302578
19,2,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268706
19,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268700
19,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268702
19,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268701
19,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268703
19,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268704
19,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290264
19,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1258084
19,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290266
19,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290268
19,3,6,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1235221
19,3,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290269
19,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1354148
19,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1330488
19,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1318330
19,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1281429
19,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1320566
19,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1268705
19,4,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290267
19,4,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2016.1228992
19,5,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1393992
19,5,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334952
19,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334948
19,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334946
19,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334945
19,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334947
19,5,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334950
19,5,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1334951
20,1,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1290265
20,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1329934
20,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1329935
20,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1346195
20,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402123
20,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1405058
20,2,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1390144
20,2,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402121
20,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1354390
20,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1397723
20,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1442928
20,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1358391
20,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402120
20,2,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402119
20,3,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1474325
20,3,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371469
20,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371320
20,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371318
20,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371315
20,3,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371314
20,3,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371319
20,3,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371317
20,3,9,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1371316
20,4,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1448106
20,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402124
20,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1402122
20,4,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1397724
20,4,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2017.1405059
20,4,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1437200
20,4,7,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1454972
20,4,8,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1455885
20,4,9,book review,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1478113
20,5,1,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1487989
20,5,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1473624
20,5,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1473623
20,5,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1473622
20,5,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1473626
20,5,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1473625
21,1,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1570055
21,1,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1552980
21,1,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494300
21,1,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494291
21,1,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1448107
21,1,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1511820
21,1,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1536800
21,1,8,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1465989
21,2,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1612206
21,2,2,introduction,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1584325
21,2,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1584324
21,2,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1438638
21,2,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1583357
21,2,6,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1547836
21,2,7,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1583356
21,2,8,review,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1583355
21,3,1,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1590618
21,3,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1442929
21,3,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1473627
21,3,4,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1511818
21,3,5,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1536801
21,3,6,correction,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1621012
21,4,1,editorial,https://www.tandfonline.com/doi/full/10.1080/14616696.2019.1647922
21,4,2,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494301
21,4,3,Article,https://www.tandfonline.com/doi/full/10.1080/14616696.2018.1494296
