number_volume,number_issue,number_article,type_1,type_2,page_start,page_end,date_receive,date_accept,date_online,keyword
9,5,4,Article,Original Articles,719,734,,,07 Dec 2007,"['Europe', 'information society', 'digitalisation', 'European public sphere', 'mass media']"
9,5,5,Article,Original Articles,735,754,,,07 Dec 2007,"['children in the news', 'news-values', 'journalism', 'childhood']"
9,5,6,Article,Original Articles,755,775,,,07 Dec 2007,"['political websites', 'European public sphere', 'the Internet', '2004 European Parliament election']"
9,5,7,Article,Original Articles,777,796,,,07 Dec 2007,"['spatial relations', 'Baltic Sea region', 'Baltic countries', 'Estonia', 'European integration', 'media content']"
10,1,1,editorial,Editorials,1,2,,,10 Dec 2007,[]
10,1,2,Article,Original Articles,3,24,,,10 Dec 2007,"['Welfare state', 'investment', 'growth', 'cohesion']"
10,1,3,Article,Original Articles,25,47,,,10 Dec 2007,"['Welfare state', 'social services', 'sociology of the state', 'welfare mix', 'comparative analysis', 'European countries']"
10,1,4,Article,Original Articles,49,71,,,10 Dec 2007,"['poverty dynamics', 'social policy', 'welfare regimes', 'southern Europe', 'Portugal']"
10,1,5,Article,Original Articles,73,96,,,10 Dec 2007,"['culture', 'employment commitment', 'gender', 'preferences', 'work goals', 'work rewards', 'work values']"
10,1,6,Article,Original Articles,97,119,,,10 Dec 2007,"['Care credits', 'France', 'gender', 'Germany', 'pension norms']"
10,1,7,Article,Original Articles,121,140,,,10 Dec 2007,"['Europeanization', 'modernization', 'free movement of labor', 'non-discrimination']"
10,2,1,editorial,Editorials,143,143,,,28 Aug 2009,[]
10,2,2,editorial,CULTURAL SPACES IN EUROPE,145,151,,,28 Aug 2009,[]
10,2,3,Article,CULTURAL SPACES IN EUROPE,153,176,,,28 Aug 2009,"['Europe', 'European Union', 'identity', 'ethnicity', 'models of Europe', 'meanings of Europe']"
10,2,4,Article,CULTURAL SPACES IN EUROPE,177,195,,,28 Aug 2009,"['EU enlargement', 'orientalism', 'cultural essentialism', 'transnationality', 'Turkey', 'Austria']"
10,2,5,Article,CULTURAL SPACES IN EUROPE,197,224,,,28 Aug 2009,"['migration', 'intra-EU mobility', 'European integration']"
10,2,6,Article,CULTURAL SPACES IN EUROPE,225,245,,,28 Aug 2009,"['cultural policy', 'European city of culture', 'Europeanization', 'identity', 'territoriality']"
10,2,7,Article,CULTURAL SPACES IN EUROPE,247,273,,,28 Aug 2009,"['subsidiarity', 'social policy', 'Europe', 'state spaces']"
10,2,8,Article,IDEOSCAPES AND LIFEWORLDS IN EUROPE,275,301,,,28 Aug 2009,"['nation', 'class', 'mass media', 'EU Constitution', 'welfare state', 'neoliberalism', 'federalism', 'democratic deficit']"
10,2,9,Article,IDEOSCAPES AND LIFEWORLDS IN EUROPE,303,325,,,28 Aug 2009,"['personal spatiality', 'lifeworld', 'transcultural communication', 'identity', 'EU enlargement']"
10,3,1,editorial,Editorial,325,327,,,13 Aug 2008,[]
10,3,2,Article,"Articles on Politics, Class, and Advantage",329,355,,,13 Aug 2008,"['class', 'class voting', 'party support', 'cleavage', 'middle class']"
10,3,3,Article,"Articles on Politics, Class, and Advantage",357,378,,,13 Aug 2008,"['mayors', 'members of parliament', 'independent candidacies', 'parties']"
10,3,4,Article,"Articles on Politics, Class, and Advantage",379,402,,,13 Aug 2008,"['income advantages', 'CP members', 'market transformation', 'Eastern Europe', 'matching']"
10,3,5,Article,"Articles on Politics, Class, and Advantage",403,428,,,13 Aug 2008,"['homology', 'habitus', 'social class', 'cultural consumption']"
10,3,6,Article,Articles on Employment and Informal Support,429,451,,,13 Aug 2008,"['Portugal', 'employment', 'gender', 'inequalities', 'call centres', 'ICT sector']"
10,3,7,Article,Articles on Employment and Informal Support,453,477,,,13 Aug 2008,"['economic consequences of divorce', 'childcare', 'panel analysis', 'female employment']"
10,3,8,Article,Articles on Employment and Informal Support,479,508,,,13 Aug 2008,"['intergenerational relations', 'support', 'family values']"
10,3,9,book review,Book Reviews,509,511,,,13 Aug 2008,[]
10,3,10,book review,Book Reviews,513,514,,,13 Aug 2008,[]
10,3,11,book review,Book Reviews,515,516,,,13 Aug 2008,[]
10,3,12,book review,Book Reviews,517,519,,,13 Aug 2008,[]
10,3,13,book review,Book Reviews,521,523,,,13 Aug 2008,[]
10,4,1,Article,Original Articles,525,544,,,27 Sep 2008,[]
10,4,2,Article,Original Articles,545,565,,,27 Sep 2008,"['EU higher education policy', 'EU expert governance', 'EU-oriented professionalism', 'EU cultural capital', 'EU science- and policy project']"
10,4,3,Article,Original Articles,567,595,,,26 Sep 2008,"['EU', 'regulations', 'professions', 'architects', 'psychologists']"
10,4,4,Article,Original Articles,597,617,,,26 Sep 2008,"['equivalence of certificates', 'education systems', 'labour relations', 'trade unions', 'air transport']"
10,4,5,Article,Original Articles,619,633,,,26 Sep 2008,"['healthcare', 'governance', 'medical profession', 'European convergence']"
10,4,6,Article,Original Articles,635,652,,,27 Sep 2008,"['cultural professions', 'copyright law', 'EU-Directive', 'knowledge-society', 'work regulation']"
10,4,7,Article,Original Articles,653,672,,,27 Sep 2008,"['professional markets', 'European and state regulations', 'policy networks', 'professional representation', 'trade-unions', 'collective action', 'architects']"
10,4,8,Article,Original Articles,673,686,,,27 Sep 2008,"['support of job seekers in France', 'accompaniment', 'the unemployed', 'advisers', 'professionalism', 'French unemployment policies', 'European Employment Strategy']"
10,5,1,editorial,Editorials,687,688,,,24 Dec 2008,[]
10,5,2,Article,Employment and Unemployment,689,710,03 Apr 2007,,24 Dec 2008,"['activation', 'normalization', 'Europeanization', 'convergence', 'methodology']"
10,5,3,Article,Employment and Unemployment,711,735,03 Apr 2007,,24 Dec 2008,"['youth and adult unemployment', 'long-term unemployment', 'duration dependence', 'institutional embeddedness', 'labour market regulation', 'educational signalling']"
10,5,4,Article,Employment and Unemployment,737,762,,,24 Dec 2008,"['economic well-being', 'part-time work', 'Europe', 'work-life balance']"
10,5,5,Article,Social Policy and Social Insurance,763,786,,,24 Dec 2008,"['fertility rates', 'family policy', 'economy', 'culture', 'cross-national comparison', 'The Netherlands']"
10,5,6,Article,Social Policy and Social Insurance,787,810,03 Apr 2007,,24 Dec 2008,"['social insurance', 'European Union', 'European social model', 'convergence']"
10,5,7,Article,European Political Processes,809,832,03 Apr 2007,,24 Dec 2008,"['surveillance', '9/11', 'immigrants', 'Germany']"
10,5,8,Article,European Political Processes,835,856,,,24 Dec 2008,"['environmental justice', 'theory', 'inequality', 'sociology', 'robust strategies']"
10,5,9,book review,BOOK REVIEWS,855,863,,,24 Dec 2008,[]
10,5,10,,Miscellany,867,867,,,24 Dec 2008,[]
11,1,1,editorial,Editorials,1,2,,,21 Jan 2009,[]
11,1,2,Article,Articles on Cosmopolitanism,3,24,11 Dec 2007,,21 Jan 2009,"['cosmopolitanism', 'cosmopolitanization', 'Europe', 'identity', 'Eurobarometer survey', 'multiple discriminant analysis']"
11,1,3,Article,Articles on Cosmopolitanism,25,47,,,21 Jan 2009,"['work-related travel', 'cosmopolitanism', 'localism', 'orientations', 'belonging', 'Sweden']"
11,1,4,Article,Articles on Business and Employment,49,76,,,21 Jan 2009,"['national business systems', 'inter-organizational relationships', 'comparative research', 'institutional framework', 'trust', 'power']"
11,1,5,Article,Articles on Business and Employment,77,101,,,21 Jan 2009,"['informal economy', 'economic development', 'active citizenship', 'social cohesion', 'Ukraine']"
11,1,6,Article,Articles on Business and Employment,103,136,11 Dec 2007,,21 Jan 2009,"['labor market', 'life cycle', 'Central Europe', 'post-communism', 'earnings']"
11,1,7,Article,Articles on Demography and its Consequences,137,159,,,21 Jan 2009,"['divorce', 'Italy', 'intergenerational effects']"
11,1,8,Article,Articles on Demography and its Consequences,161,185,,,21 Jan 2009,"['mortality', 'Russia', 'Latvia', 'Soviet Union', 'social differences', 'health crisis']"
11,2,1,Article,Editorial,187,188,,,30 Apr 2009,[]
11,2,2,Article,Papers on Welfare and Politics,189,210,,,30 Apr 2009,"['social capital', 'inequality', 'welfare state', 'Europe']"
11,2,3,Article,Papers on Welfare and Politics,211,232,,,30 Apr 2009,"['welfare states', 'social policy preferences', 'generational cleavage', 'class cleavage', 'Switzerland']"
11,2,4,Article,Papers on Welfare and Politics,233,255,,,30 Apr 2009,"['social networks', 'welfare state', 'new institutionalism', 'ISSP', 'family', 'friends']"
11,2,5,Article,Other papers,257,282,,,30 Apr 2009,"['adults', 'social networks', 'learning habits']"
11,2,6,Article,Other papers,283,309,,,30 Apr 2009,"['reference groups', 'income poverty', 'material deprivation', 'economic stress']"
11,2,7,book review,Book Review,311,313,,,30 Apr 2009,[]
11,3,1,Article,Original Articles,315,324,,,19 Jun 2009,[]
11,3,2,Article,Original Articles,325,345,,,19 Jun 2009,"['young people', 'identities', 'travel', 'gender']"
11,3,3,Article,Original Articles,347,367,,,19 Jun 2009,"['resistance', 'communal living', 'family', 'gender', 'subjectivation', 'environmentalism']"
11,3,4,Article,Original Articles,369,389,,,19 Jun 2009,"['wedding', 'wedding guests', 'family relations', 'relationality']"
11,3,5,Article,Original Articles,391,410,,,19 Jun 2009,"['peer support', 'social bond', 'self', 'fate', 'suffering', 'other']"
11,3,6,Article,Original Articles,411,430,,,19 Jun 2009,"['haunting', 'individualization', 'subjectivity', 'relationality', 'psycho-social studies', 'psychoanalysis', 'racialized belonging', 'masculinity']"
11,3,7,Article,Original Articles,431,450,,,19 Jun 2009,"['reflexivity', 'sociability', 'drinking habits', 'young adults', 'diaries']"
11,3,8,Article,Original Articles,451,469,,,19 Jun 2009,"['youth', 'qualitative longitudinal', 'biographical', 'critical moments']"
11,4,1,editorial,Editorials,471,472,,,25 Sep 2009,[]
11,4,2,Article,"Risk, Trust and Policy",473,493,,,25 Sep 2009,"['food safety', 'food policy', 'governance', 'EU', 'comparative analysis']"
11,4,3,Article,"Risk, Trust and Policy",495,510,,,25 Sep 2009,"['bird flu', 'risk', 'attitudes and behaviors', 'Turkey']"
11,4,4,Article,"Risk, Trust and Policy",511,530,,,25 Sep 2009,"['social capital', 'willingness to pay (WTP)', 'environmental attitudes', 'national differences']"
11,4,5,Article,"Class, Status and Ethnicity",531,551,,,25 Sep 2009,"['cultural capital', 'symbolic capital', 'education', 'paternalism']"
11,4,6,Article,"Class, Status and Ethnicity",553,582,,,25 Sep 2009,"['race', 'nation', 'gender', 'class', 'interconnected discriminations', '‘Black Shame’']"
11,4,7,Article,"Class, Status and Ethnicity",583,602,,,25 Sep 2009,"['religiosity belief', 'social status', 'income', 'education', 'Europe', 'Christian environment']"
11,4,8,Article,"Class, Status and Ethnicity",603,624,,,25 Sep 2009,"['cosmopolitanism', 'civic stratification', 'human rights', 'asylum', 'welfare']"
11,5,1,editorial,Editorials,625,626,,,20 Nov 2009,[]
11,5,2,Article,Forms of Political Integration,627,647,,,17 Jun 2009,"['European Union', 'empire', 'state-building', 'European integration']"
11,5,3,Article,Forms of Political Integration,649,671,,,18 Mar 2009,"['European Union', 'side-payments', 'open method of coordination', 'coalitions', 'committees']"
11,5,4,Article,Forms of Political Integration,673,695,,,18 Mar 2009,"['welfare', 'transnationalism', 'development', 'South East Europe', 'translation', 'projectisation']"
11,5,5,Article,"Selection, Merit and Mobility",697,721,,,02 Jul 2009,"['content analysis', 'employment skills', 'occupational groups']"
11,5,6,Article,"Selection, Merit and Mobility",723,746,,,03 Apr 2009,"['gender', 'gender segregation', 'field of study', 'education', 'labour market']"
11,5,7,Article,"Selection, Merit and Mobility",747,773,,,23 Mar 2009,"['secondary education', 'educational system', 'social selectivity', 'track mobility', 'transition research']"
12,1,1,editorial,Editorial,1,2,,,03 Feb 2010,[]
12,1,2,Article,Economic Structure,3,23,,,29 Sep 2009,"['informal economy', 'post-Fordist transformation', 'recommodification of labour']"
12,1,3,Article,Migration: Inclusion and Exclusion,25,44,,,20 Oct 2009,"['Irish attitudes', 'immigrants', 'structural determinants', 'European comparison']"
12,1,4,Article,Migration: Inclusion and Exclusion,45,64,,,20 Oct 2009,"['lifestyle migration', 'British migration', 'rural France', 'integration', 'residential choice']"
12,1,5,Article,Gender and Family Relations,65,84,,,03 Feb 2010,"['gender', 'family', 'dual-income couples', 'money', 'equality', 'couple relationship']"
12,1,6,Article,Gender and Family Relations,85,111,,,23 Sep 2009,"['gender roles', 'family life styles', 'individualization', 'Welfare State']"
12,1,7,Article,Gender and Family Relations,113,133,,,21 Sep 2009,"['fertility', 'occupational segregation', 'type of employment', 'Spain']"
12,1,8,book review,Book Review,135,136,,,03 Feb 2010,[]
12,2,1,editorial,Editorial,137,138,,,04 May 2010,[]
12,2,2,Article,Formal and Informal Care,139,162,,,23 Sep 2009,"['care', 'policies', 'employment', 'Austria', 'cross-national comparison']"
12,2,3,Article,Formal and Informal Care,163,185,,,20 Oct 2009,"['boundaries', 'eldercare', 'embeddedness', 'work']"
12,2,4,Article,Formal and Informal Care,187,207,,,04 May 2010,"['maternity legislation', 'path dependency', 'Ireland', 'Estonia']"
12,2,5,Article,Formal and Informal Care,209,230,,,27 Jan 2010,"['welfare state', 'activation', 'disability', 'Sweden', 'case study']"
12,2,6,Article,"Income, Poverty and Social Capital",231,255,,,23 Sep 2009,"['bridging social capital', 'bonding social capital', 'earnings', 'subjective well-being', 'Poland', 'D10', 'J20']"
12,2,7,Article,"Income, Poverty and Social Capital",257,278,,,06 Oct 2009,"['poverty dynamics', 'latent class analysis', 'welfare regimes', 'life course']"
12,2,8,book review,Book Reviews,279,281,,,04 May 2010,[]
12,2,9,book review,Book Reviews,283,285,,,04 May 2010,[]
12,2,10,book review,Book Reviews,287,288,,,04 May 2010,[]
12,3,1,editorial,Editorial,289,291,,,20 Jul 2010,[]
12,3,2,Article,Political Trajectories in European Democracy,293,315,,,30 Jun 2010,"['civil society', 'transformation', 'European Union', 'democracy promotion', 'new member states', 'neo-liberalism']"
12,3,3,Article,Political Trajectories in European Democracy,317,337,,,20 Jul 2010,"['Portugal', 'Europeanization', 'rule of law', 'economic divergence', 'education']"
12,3,4,Article,Employment and Work Patterns,339,366,,,20 Jul 2010,"[""mothers' employment"", 'family policy', 'cultural values', 'religion']"
12,3,5,Article,Employment and Work Patterns,367,390,,,20 Jul 2010,"['comparative research', 'youth temporary employment', 'Enlarged Europe', 'employment protection', 'unions']"
12,3,6,Article,Employment and Work Patterns,391,418,,,20 Jul 2010,"['informal economy', 'decent work', 'structure/agency', 'Moscow', 'Russia', 'post-socialism']"
12,3,7,Article,Employment and Work Patterns,419,442,,,20 Jul 2010,"['division of housework', 'paid work', 'psychological distress', 'time use', 'gender equality', 'Sweden']"
12,3,8,book review,Book Reviews,443,445,,,20 Jul 2010,[]
12,3,9,book review,Book Reviews,447,448,,,20 Jul 2010,[]
12,4,1,editorial,Editorial,449,450,,,20 Sep 2010,[]
12,4,2,Article,Interview: Shmuel Eisenstadt,451,465,,,20 Sep 2010,"['multiple modernities', 'Axial Age civilizations', 'democracy', 'universalism', 'particularism']"
12,4,3,Article,"Parties, Councils and Elections",467,492,,,25 Jun 2010,"['post-materialism', 'Greens', 'left-right', 'democracy', 'congruence']"
12,4,4,Article,"Parties, Councils and Elections",493,519,,,18 Jun 2010,"['participation', 'works council', 'social practice', 'regional cluster', 'microsystems technology', 'culture']"
12,4,5,Article,"Parties, Councils and Elections",521,542,,,20 Sep 2010,"['non-voting', 'education', 'cohort', 'multilevel analysis']"
12,4,6,Article,Identity and Equality,543,566,,,25 Jun 2010,"['Europeanisation', 'Race Equality Directive', 'Lithuania', 'new EU member states']"
12,4,7,Article,Identity and Equality,567,589,,,20 Sep 2010,"['attachment', 'Europe', 'intercultural capital', 'teachers', 'England', 'Germany']"
12,4,8,book review,Book Reviews,591,593,,,20 Sep 2010,[]
12,4,9,book review,Book Reviews,595,596,,,20 Sep 2010,[]
12,4,10,book review,Book Reviews,597,598,,,20 Sep 2010,[]
12,5,1,editorial,Editorial,599,601,,,16 Dec 2010,[]
12,5,2,Article,Volunteering,603,625,,,04 Oct 2010,"['Germany', 'panel data', 'productive ageing', 'retirement', 'SOEP', 'volunteer work']"
12,5,3,Article,Volunteering,627,652,,,17 Sep 2010,"['informal volunteering', 'welfare state', 'crowding out', 'social capital']"
12,5,4,Article,Welfare and Social Support,653,674,,,24 Jun 2010,"['transformation', 'social quality', 'agency', 'Russia', 'Belarus', 'Ukraine']"
12,5,5,Article,Welfare and Social Support,675,696,,,25 Jun 2010,"['intergenerational obligations', 'intergenerational regimes', 'social policies', 'care', 'transfers', 'gender']"
12,5,6,Article,Welfare and Social Support,697,717,,,04 Oct 2010,"['transition', 'social networks', 'network composition', 'MCA']"
12,5,7,Article,Welfare and Social Support,719,741,,,27 Jul 2010,"['citizenship', 'marketisation', 'privatisation', 'flows of resources']"
12,5,8,Article,Individualism and Detraditionalization,743,764,,,16 Dec 2010,"['social control', 'individualism', 'detraditionalization', 'Protestantism', 'therapeutization', 'psi-disciplines']"
12,5,9,book review,Book Reviews,765,766,,,16 Dec 2010,[]
12,5,10,book review,Book Reviews,767,768,,,16 Dec 2010,[]
12,5,11,,Miscellany,ebi,ebi,,,16 Dec 2010,[]
13,1,1,editorial,Editorial,1,4,,,18 Feb 2011,[]
13,1,2,Article,Variants of Migration,5,27,,,18 Feb 2011,"['education', 'employment status', 'high-skilled migrants', 'realistic individual threat', 'symbolic group threat', 'Switzerland', 'xenophobia']"
13,1,3,Article,Variants of Migration,29,50,,,15 Oct 2010,"['family and children migration', 'gendered migration', 'post-enlargement Europe', 'transnationalism', 'social and cultural capital']"
13,1,4,Article,Variants of Migration,51,68,,,08 Jul 2010,"['migration', 'social mobility', 'dominance effect']"
13,1,5,Article,Trajectories of Education,69,91,,,18 Feb 2011,"['school-to-work transitions', 'vocational training', 'GSOEP', 'labour markets']"
13,1,6,Article,Trajectories of Education,93,117,,,18 Feb 2011,"['intergenerational transmission of education', 'education', 'comparative research', 'industrialisation', 'social mobility']"
13,1,7,Article,Cultural Inequality,119,142,,,05 Nov 2010,"['inequality in political participation', 'participation paradox', 'emerging forms of participation', 'Western Europe', 'conventional forms of political participation']"
13,1,8,Article,Cultural Inequality,143,163,,,02 Dec 2010,"['upper class', 'cultural capital', 'taste', 'Bourdieu']"
13,1,9,book review,Book Review,165,167,,,18 Feb 2011,[]
13,2,1,editorial,Editorial,169,170,,,18 Apr 2011,[]
13,2,2,Article,Original Articles,171,189,,,18 Apr 2011,"['gender', 'headscarf ban', 'religion', 'social mobility', 'Turkey']"
13,2,3,Article,Original Articles,191,217,,,10 Dec 2010,"['critical consumption', 'social movements', 'Europe', 'new participation', 'political consumers', 'cross-national']"
13,2,4,Article,Original Articles,219,237,,,02 Nov 2010,"['economic inequality', ""women's labour supply"", 'decomposition of inequality']"
13,2,5,Article,Original Articles,239,256,,,04 Nov 2010,"['work–life balance', 'family policy', 'parental leave', 'EU comparison', 'employment pattern']"
13,2,6,Article,Original Articles,257,278,,,25 Jun 2010,"['divorce', 'intergenerational effects of divorce', 'intergenerational relations', 'ageing', 'social inclusion']"
13,2,7,Article,Original Articles,279,305,,,28 Feb 2011,"['health', 'marital status', 'Europe', 'multilevel analysis']"
13,2,8,Article,Original Articles,307,325,,,17 Sep 2010,"['family change', 'cohabitation', 'divergence and convergence of family patterns', 'European countries']"
13,2,9,book review,Book Review,327,329,,,18 Apr 2011,[]
13,3,1,Article,Original Articles,331,345,,,22 Jun 2011,[]
13,3,2,Article,Original Articles,347,375,,,22 Jun 2011,"['occupational attainment', 'social class', 'education', 'cohort effects']"
13,3,3,Article,Original Articles,377,400,,,22 Jun 2011,"['career mobility', 'intragenerational mobility', 'returns to education', 'growth curves', 'intergenerational reproduction']"
13,3,4,Article,Original Articles,401,423,,,22 Jun 2011,"['occupational mobility', 'Germany', 'inequality', 'cumulative advantage', 'cohort change']"
13,3,5,Article,Original Articles,425,450,,,22 Jun 2011,"['occupational career', 'social stratification', 'status attainment', 'The Netherlands']"
13,3,6,Article,Original Articles,451,479,,,22 Jun 2011,"['occupational attainment', 'careers', 'stratification', 'growth curve analysis', 'Sweden']"
13,3,7,Article,Original Articles,481,503,,,22 Jun 2011,"['education', 'class career', 'social mobility', 'sequences', 'lexicographic index']"
13,4,1,editorial,Editorial,505,507,,,24 Aug 2011,[]
13,4,2,Article,Views of Society,509,533,09 May 2010,27 Feb 2011,13 Jun 2011,"['retail banking', 'sociology', 'economics', 'reflexivity', 'performativity', 'Portugal']"
13,4,3,Article,Views of Society,535,557,10 Mar 2010,24 May 2011,24 Aug 2011,"['immigrants', 'confidence in institutions', 'discrimination']"
13,4,4,Article,Views of Society,559,582,27 Feb 2009,30 Nov 2010,11 Apr 2011,"['immigrants', 'immigration', 'prejudice', 'size', 'size perceptions', 'education', 'knowledge']"
13,4,5,Article,Views of Society,583,606,19 Jul 2010,27 Feb 2011,13 Jun 2011,"['class', 'race', 'education', 'widening participation', 'internationalisation']"
13,4,6,Article,Gendered Trade Unionism,607,631,10 Dec 2010,06 Apr 2011,28 Jun 2011,"['union', 'equality', 'gender', 'career', 'organisation', 'France', 'UK']"
13,4,7,book review,Book Review,633,635,,,24 Aug 2011,[]
13,5,1,editorial,Editorial,637,639,,,16 Dec 2011,[]
13,5,2,Article,Europeans and Work,641,662,19 Sep 2009,29 Jul 2011,01 Nov 2011,"['subjective work goals', 'Inglehart', 'comparative research', 'Europe']"
13,5,3,Article,Europeans and Work,663,686,27 Jul 2009,29 Jul 2010,02 Dec 2010,"['country comparison', 'European Values Study', 'extrinsic job preference', 'intrinsic job preference', 'scalar invariance model', 'work values']"
13,5,4,Article,Europeans and Work,687,712,10 Aug 2009,08 Mar 2011,13 Jun 2011,"['social networks', 'immigrants', 'labour market', 'job-search methods', 'employment opportunities']"
13,5,5,Article,Nations and Their Minorities,713,733,03 Apr 2010,24 May 2011,08 Aug 2011,"['Turkish nationalism', 'Alevi', 'ambivalent citizenship', 'cultural nationalism', 'Islam']"
13,5,6,Article,Nations and Their Minorities,735,756,27 Feb 2010,05 Jul 2011,23 Aug 2011,"['ethnic and national minorities', 'discursive opportunity structure', 'clams-analysis method', 'Poland']"
13,5,7,Article,Caucasian Classes,757,782,05 Apr 2010,17 Jun 2011,19 Aug 2011,"['education', 'social class', 'socio-political attitudes', 'South Caucasus', 'standards of living']"
13,5,8,book review,Book Reviews,783,785,04 May 2011,05 Jul 2011,10 Oct 2011,[]
13,5,9,book review,Book Reviews,787,788,,,16 Dec 2011,[]
13,5,10,,Editorial Board,ebi,ebi,,,16 Dec 2011,[]
14,1,1,editorial,Editorial,1,5,,,23 Feb 2012,[]
14,1,2,Article,Processes of Europeanization,7,34,04 Jan 2011,17 Sep 2011,07 Dec 2011,"['transnationalism', 'horizontal Europeanisation', 'comparative research', 'social networks', 'mobility']"
14,1,3,Article,Processes of Europeanization,35,55,19 Nov 2010,03 Sep 2011,31 Oct 2011,"['cosmopolitan Europe', 'individualization of social rights', 'welfare state modernization', 'solidarity', 'European integration']"
14,1,4,Article,Corruption,57,81,04 Feb 2011,23 Oct 2011,07 Dec 2011,"['corruption', 'civil society', 'networks', 'voluntary associations', 'European Social Survey']"
14,1,5,Article,Work and Gender,83,111,15 Oct 2010,08 Oct 2011,02 Dec 2011,"['temporary employment', 'nonstandard work', 'in-work poverty', 'gender', 'Europe', 'comparative']"
14,1,6,Article,Work and Gender,113,134,23 Jun 2010,23 Nov 2010,25 Mar 2011,"['work', 'life course', 'gender', 'family', 'case studies', 'biographies']"
14,1,7,,Enquête on the current financial crisis,135,135,,,23 Feb 2012,[]
14,1,8,,Enquête on the current financial crisis,136,138,,,23 Feb 2012,[]
14,1,9,,Enquête on the current financial crisis,139,141,,,23 Feb 2012,[]
14,1,10,,Enquête on the current financial crisis,141,143,,,23 Feb 2012,[]
14,1,11,,Enquête on the current financial crisis,144,145,,,23 Feb 2012,[]
14,1,12,,Enquête on the current financial crisis,146,148,,,23 Feb 2012,[]
14,1,13,,Enquête on the current financial crisis,148,151,,,23 Feb 2012,[]
14,1,14,,Enquête on the current financial crisis,151,152,,,23 Feb 2012,[]
14,1,15,book review,Book Reviews,153,155,,,31 Jan 2012,[]
14,1,16,book review,Book Reviews,157,159,,,30 Jan 2012,[]
14,2,1,correction,Corrigendum,i,i,,,11 Sep 2012,[]
14,2,2,editorial,Editorial,161,165,,,16 May 2012,[]
14,2,3,Article,Original Articles,166,185,,,03 May 2012,"['racism', 'antisemitism', 'antiracism', 'Du Bois', 'Fanon', 'Badiou', 'sociology']"
14,2,4,Article,Original Articles,186,202,,,25 Apr 2012,"['racism', 'prejudice', 'antisemitism', 'Islamophobia', 'Italy']"
14,2,5,Article,Original Articles,203,221,,,16 May 2012,"['antisemitism', 'Spain', 'Jews', 'secularization', 'Muslims', 'qualitative methodology']"
14,2,6,Article,Original Articles,222,239,,,26 Apr 2012,"['antisemitism', 'Islamophobia', 'racism', 'Danish cartoons', 'Swiss ban on minarets', 'UN resolutions']"
14,2,7,Article,Original Articles,240,258,,,16 May 2012,"['antisemitism', 'racism', 'Islamophobia', 'literature', 'capitalism', 'modernity']"
14,2,8,Article,Original Articles,259,274,,,01 May 2012,"['antisemitism', 'France', 'racism', 'identity', 'ethnicity', 'social mobility']"
14,2,9,Article,Original Articles,275,294,,,27 Apr 2012,"['antisemitism', 'Holocaust', 'Marxism', 'left', 'Frankfurt School']"
14,2,10,,ENQUÊTE PART II: New sociological perspectives,295,296,,,30 Apr 2012,[]
14,2,11,,ENQUÊTE PART II: New sociological perspectives,297,299,,,24 Apr 2012,[]
14,2,12,,ENQUÊTE PART II: New sociological perspectives,299,301,,,23 Apr 2012,[]
14,2,13,,ENQUÊTE PART II: New sociological perspectives,302,304,,,03 May 2012,[]
14,2,14,book review,Book Reviews,305,307,14 Dec 2011,27 Dec 2011,27 Feb 2012,[]
14,2,15,book review,Book Reviews,308,311,05 Jan 2012,27 Feb 2012,30 Apr 2012,[]
14,2,16,book review,Book Reviews,312,314,27 Feb 2012,09 Mar 2012,30 Apr 2012,[]
14,3,1,editorial,Editorial,315,319,,,10 Sep 2012,[]
14,3,2,Article,Labour Markets,320,337,20 Jul 2010,07 Mar 2012,03 May 2012,"['domestic services', 'knowledge societies', 'labour', 'gender', 'class', 'migration']"
14,3,3,Article,Labour Markets,338,361,23 Nov 2010,07 Mar 2012,14 May 2012,"['statistical discrimination', 'recruitment', 'low-skill workers']"
14,3,4,Article,Labour Markets,362,392,14 May 2010,02 Feb 2012,04 May 2012,"['cultural diversity', 'labour markets', 'integration', 'Germany']"
14,3,5,Article,Help in Europe,393,415,20 Aug 2010,26 Mar 2012,25 Jun 2012,"['help', 'civic engagement', 'volunteering', 'democracy', 'Europe multilevel modeling']"
14,3,6,Article,Help in Europe,416,440,13 Jul 2010,22 Jan 2012,08 Jun 2012,"['crowding out hypothesis', 'social capital', 'access to informal help', 'welfare state']"
14,3,7,Article,European Participation,441,462,22 Sep 2009,16 Dec 2011,21 Feb 2012,"['attitudes toward the EU', 'EP election', 'voting participation']"
14,3,8,book review,Book Review,463,465,06 Mar 2012,09 Mar 2012,03 May 2012,[]
14,3,9,,Miscellany,466,466,,,10 Sep 2012,[]
14,3,10,,Introduction,467,469,,,10 Sep 2012,[]
14,4,1,editorial,Editorial,471,472,,,15 Nov 2012,[]
14,4,2,Article,Introduction,473,483,,,15 Nov 2012,[]
14,4,3,Article,Original Articles,484,501,,,13 Sep 2012,"['EUrope', 'identity', 'demos', 'ethnic', 'civic']"
14,4,4,Article,Original Articles,502,521,,,10 Oct 2012,"['enlargement', 'EU', 'identity', 'democracy', 'self-understanding']"
14,4,5,Article,Original Articles,522,539,,,05 Oct 2012,"['European integration', 'foreign policy', 'normative power', 'international society', 'democracy']"
14,4,6,Article,Original Articles,540,561,,,20 Sep 2012,"['EU', 'European Commission', 'culture', 'stereotypes', 'corruption', 'cosmopolitanism', 'management']"
